treatment,age,education,black,married,earnings_1974,earnings_1975,earned_above_median
0,18.85062014416351,10.837296041633811,1,0,1634.6102728670103,4226.026910006544,1
1,15.11224965605298,9.866218116810547,1,1,8241.356969978327,1001.89587747232,0
1,12.793063183569714,12.909312957658443,1,0,9152.172847412285,4433.355877910988,1
1,25.833128842377825,8.533462632391647,0,0,2398.360779163271,0.0,0
0,14.32276636836581,9.380998475992412,1,0,0.0,0.0,0
0,17.063290834391818,8.23099385387996,1,0,7155.365590905281,6960.679858389785,0
0,23.47374885261246,8.958811644639095,0,1,2013.953493178249,0.0,0
1,6.528340498180702,6.216192197492752,1,0,52.218125530990456,3666.4076714039547,0
1,30.452857984308007,9.228630671898937,1,0,0.0,5048.292541029459,1
1,8.130782830252343,9.896262272460197,1,1,13881.064270896446,4080.262460988576,1
0,24.45839326067059,9.727338315068634,1,0,6235.031314739009,3417.6693467928008,1
1,25.105134586160027,14.299106527465618,1,0,6838.991648006001,3676.563456202484,1
1,28.76643204127266,13.666969154353962,1,0,0.0,4883.850046189419,1
0,24.708234383270746,8.498201058077829,1,0,2546.598137935589,2516.7095520413886,0
0,39.12535574683267,5.912126610694808,1,0,1643.6343506268431,1373.1453507362771,0
0,26.514218170979504,9.801599294136887,1,0,6479.729821709543,0.0,1
0,32.37528679470562,10.75302027634124,1,0,9714.423354410912,2518.0059595958273,1
0,19.935760337907986,8.27903185323433,1,1,0.0,4790.68280626522,1
0,25.845297643326273,8.378048732148555,1,1,0.0,0.0,0
0,35.83299066520249,13.165109938625065,1,0,5716.131962116268,767.0184891465931,1
1,23.336134127172514,9.484896857709392,1,0,0.0,2861.1939417567623,0
0,26.34564334936662,11.324500371391476,1,0,6663.29506009871,6339.570551588062,1
0,31.865974143962326,8.13938860429111,1,0,10.867671460743722,0.0,0
0,19.804393358658558,9.886119082550413,1,0,0.0,4039.0479642701903,0
0,9.869077666765648,9.327323292730975,1,0,0.0,355.0818928614012,0
1,26.789015575986582,8.649253522393424,0,0,4811.116352219686,0.0,0
0,31.92068418550602,12.310600823043385,1,0,4948.443043865547,0.0,1
0,15.539879645756201,7.222245980733971,1,1,7533.208156718819,0.0,1
1,29.69153928094137,10.600113651022578,1,0,3936.092195338567,3097.140614335753,1
0,29.738764711376763,9.289756689019002,1,1,0.0,771.1319160193157,0
1,9.085526186192872,10.82964896407175,1,0,4919.231003942701,3785.559896741468,1
0,18.445979573152595,9.316846735563285,1,1,0.0,0.0,0
0,22.229198534878364,11.73438612383788,1,0,0.0,3730.3907293540765,0
1,23.74263199835334,8.120594803495695,0,0,0.0,2888.1388960608297,0
1,19.798060146624113,12.315106383350624,1,0,0.0,0.0,0
1,19.420980374924724,9.942394610651156,1,0,3662.2773707276333,6319.946353270039,1
0,36.70038023827465,7.342994941969753,0,0,0.0,2587.6957749303065,0
0,24.247086076987642,11.360430911805647,1,0,0.0,3949.378333552305,1
1,20.134694378951824,9.602300512964698,1,0,2229.2623119334676,5199.634395666046,0
0,24.71181366161215,6.584324147720912,1,0,0.0,4598.8005323311345,0
0,28.759635831428007,10.664936167517741,1,0,7593.997173720797,1096.4722670138951,1
0,25.361384636978457,12.0131914305554,1,0,10221.228493468769,3820.5124268908867,1
0,23.559906864204187,12.564271480720262,1,0,881.427479635847,0.0,0
1,20.449883319306828,9.243296234800468,1,1,9812.736564447421,2760.051975372932,1
0,20.365084081726806,10.290636110651477,0,0,9803.30825965348,7043.952024626001,1
1,20.815341294602483,10.101072685585823,0,1,2573.8033647924885,0.0,0
0,27.37170220567516,12.979605263142707,0,0,11807.339412986892,4429.451267447568,1
0,18.04073935318749,8.379022835253366,1,0,0.0,7173.548326710471,0
0,27.752884564291552,9.070681095590917,1,0,0.0,3705.4619828770446,1
0,34.89096328938781,8.330559381100388,1,0,0.0,4781.301520454365,1
1,27.2799515046924,7.1016989537742266,1,0,0.0,0.0,0
1,22.412901297580042,10.495574362104163,0,0,5092.09147848893,0.0,0
1,15.913111804617587,13.202596663555175,1,0,0.0,6075.152851808225,1
1,36.0467476553806,9.603031082969878,0,0,0.0,4573.120487542298,1
1,16.809876445807614,8.236206756913731,1,0,0.0,3087.267403267995,0
1,30.939934241330235,10.373719404464136,0,0,0.0,653.2428728490285,0
0,29.4696250241614,11.17823635754531,0,0,9619.172858086928,2410.787352118634,0
0,23.34261977925158,9.687273725126856,1,0,4102.4249886440875,7062.069626643645,1
0,23.159148373535253,12.807070663908355,1,0,0.0,1173.9124103186302,0
0,12.150021081712856,8.375276211424957,1,0,8934.638289845647,3737.6034842520444,0
0,27.31045500568835,9.426060726975274,1,0,2243.7253327864423,3653.535873503017,0
0,29.339484326770634,10.591975809685923,1,0,2848.4708059149834,0.0,1
1,17.376439186965367,10.785927505235655,1,0,8499.541493338293,0.0,1
0,23.90924967969628,10.094456184596321,0,0,181.32167285280732,6386.442435923175,1
0,25.265033405062653,7.443160155285703,1,0,7230.946592631619,3324.4158256571063,1
0,29.092008395646978,14.67602280841266,1,0,6831.600393887276,0.0,1
0,25.02662153286231,9.5280601699078,1,0,1284.948147617284,503.9062915854844,0
1,13.615764522268911,10.220535037169313,1,0,0.0,0.0,0
0,21.290435613762575,11.233522186345962,1,0,2171.073879031168,4912.805309379332,0
1,26.572380497723135,8.72698927470094,1,0,8468.618181193424,694.3461533748191,0
1,30.890698394278314,10.113852841741553,1,1,6690.701189062732,736.9738651214009,1
0,20.676543734240273,8.64561952469341,1,0,11677.402190256958,4190.939636897395,1
0,40.31354912185014,10.831101482948462,1,0,0.0,0.0,1
1,11.738688518141247,9.447954702888861,1,0,6464.082647300519,1381.910909667945,0
1,21.054098774594692,10.537437054609336,1,0,0.0,1465.1161692819826,0
1,24.41876477555059,7.906925307028796,1,1,3228.870179586031,586.0527443550566,0
1,23.59475585512995,8.342167131987589,1,0,8290.309469203901,0.0,0
0,16.375003691296172,7.269718646286396,0,1,7175.977689445837,0.0,0
0,28.135032234262557,8.578939841347584,1,0,2677.209034774891,2403.8415656487646,1
0,27.597658359197453,4.85295151260372,1,0,598.9078896567726,0.0,0
1,25.335730121870828,9.385799588624346,1,0,0.0,2015.7917512059473,0
1,27.322907042809607,8.931519456074147,1,0,835.6696727915074,0.0,0
0,22.033565119863784,10.301821927250138,0,0,0.0,0.0,0
0,13.678459349240025,10.089215448868579,1,0,178.11332971923983,2130.3716995737345,1
0,19.983520909634287,12.51415953696214,1,0,0.0,0.0,1
0,26.09938206986609,15.188620369548222,1,1,0.0,5554.542920093666,1
1,26.13921090392477,12.27507802630127,1,0,6875.713043117939,1051.7887159115458,1
1,25.289653368100936,9.093784821249825,1,0,6251.806912411134,4849.274754693694,1
1,28.84095787589522,9.01321850058022,1,0,482.4521031009723,0.0,0
0,20.931977681849883,11.73732608471143,1,0,2462.7052218699387,0.0,0
0,25.186767399773753,6.633310610854336,1,0,3213.8157651553825,0.0,0
1,29.00464944883445,9.369594147673043,1,0,4677.838984062619,0.0,1
1,24.405771270483527,9.523694129912284,1,0,4078.5735606094836,755.6611104343751,0
0,16.296732501157308,11.168262969637624,1,0,0.0,1746.489666706792,0
1,18.269581412411238,11.227732692281561,1,0,0.0,3731.5223828418148,0
0,30.815966269955567,8.510878919213942,1,0,0.0,3499.345246302405,1
0,34.74730514059801,9.171254676589632,1,1,1235.7498950736208,5134.052056559381,0
0,33.226981754768346,10.890208509665413,1,0,7477.028548496355,0.0,0
0,26.625091648194246,8.402158688162471,1,0,3412.414268082301,1598.6374541682067,0
0,16.57807178588315,12.412236869548567,1,0,5092.508751904265,0.0,1
0,24.95553910258992,11.218350466880482,1,0,0.0,2825.5501417648925,0
1,35.93578592365295,10.343019096389687,0,0,1703.918162682355,7273.616438649256,1
0,29.329418663195327,10.781881196561839,1,0,2466.715212960385,0.0,1
0,23.547657341212894,9.0662187661184,1,0,0.0,3700.152686787918,0
1,29.400376629888516,8.747417155624763,1,0,0.0,4855.65026918606,0
0,16.114233553690767,9.150555567722558,0,0,830.6044482621867,0.0,0
0,20.130300355062584,10.999933384519698,1,0,5802.923549443208,2896.2502236903015,1
1,17.410660262843727,10.402029961417307,0,0,0.0,348.2138512612364,0
0,28.287002728439028,9.15457108061458,0,0,934.1206964278687,1112.2691430303846,0
0,29.998724498040648,11.499163486615311,1,0,9687.941952313002,242.2339331880087,0
0,23.923217809611433,9.652107155327693,0,1,0.0,780.3987905517904,1
0,18.88949226282304,8.613378508821665,1,0,2140.7847274823475,5197.695284343865,0
1,24.861756345257607,10.508683018597042,0,0,1508.0347465361456,1246.7483544133308,0
1,21.59394076528335,7.973940976754324,1,0,1048.3668823256214,0.0,1
1,19.42680506714379,6.625552500128597,1,0,11443.477720270448,1720.7921957199503,0
1,27.372955797164725,9.989790848869472,1,0,3812.2185305907374,0.0,1
1,19.694054442369286,8.685172412578233,1,1,0.0,0.0,0
0,14.035551869251352,9.491691294660301,1,1,10659.151140809308,5495.491635997927,1
1,15.591198707457693,8.0665341637111,1,0,3638.9553827059317,1034.8949936392357,0
0,13.777176732288353,12.41786427940514,1,0,7.983563543376215,0.0,0
1,26.73258341603343,8.677014512143723,1,0,9656.878031577422,2053.503385458646,0
1,26.052838067233147,9.13600124365838,1,0,0.0,3857.183785281825,1
0,25.703640661557134,10.755766535166469,1,0,11707.920520131382,5751.972576317598,1
0,29.114121567359597,7.246771403354634,1,0,2622.494798378339,56.71642043070033,0
0,33.34371199281981,7.0989004535025915,1,0,7731.129543234598,130.3383817321544,1
0,20.854134284224195,10.761905671386826,1,0,19278.01182488524,785.8488288868184,1
1,27.845342340668928,9.11010473907566,1,0,3108.51261734208,4793.314647902808,1
1,13.942691448158861,8.197009786211689,1,0,1557.7413597750267,1682.533390972672,0
0,34.650968223843456,11.20674634589464,0,0,0.0,8430.815172451812,1
0,16.2861813324729,8.376156681784014,1,0,1424.8054420923982,984.7738681769562,0
0,20.029432166716937,9.45097540090215,0,0,0.0,7143.153943736783,0
0,20.816033403868353,8.207739064054975,1,0,1052.976794979518,0.0,0
0,14.316103022944516,10.606874372499648,1,0,18310.231130650667,0.0,1
0,25.228029041859934,12.664152385433548,1,0,2769.7485456192094,1175.4275418235,1
1,26.497327077410375,6.27792014133577,1,0,0.0,5146.03817765172,0
0,23.67410430312915,10.22531537750129,1,1,925.5787697921402,0.0,0
0,14.218266575782463,11.7131768837727,1,0,0.0,0.0,1
1,38.88370364396198,9.157044505388454,1,0,7971.05048959311,4780.047027567856,1
0,28.844615575511536,7.7379152514082294,1,0,1594.7422517591106,3756.3191580951584,0
1,43.43955430554971,10.841927054254807,1,1,11109.773323113573,0.0,0
1,19.364235320795952,12.0033070067542,1,0,329.84400931411295,0.0,0
0,31.70517559723884,11.781044355290938,1,1,691.1560486493772,4153.734756294022,1
0,30.454917211759145,10.731818675829654,1,0,0.0,0.0,0
0,22.965974278318463,10.195827475217284,1,1,0.0,4954.475251360543,0
0,34.877356307414566,8.201974889231398,1,0,0.0,3713.8521321975527,0
0,22.16212994670355,11.730489900687884,1,0,0.0,0.0,0
1,22.47376006402775,11.619913626705015,0,1,5598.170780714101,1549.8184794003307,0
0,0.6999907564313141,7.723883362689466,1,1,0.0,0.0,0
0,27.863196376198463,10.728959455692982,1,0,4373.406795424914,0.0,0
0,15.721430618223154,11.30564775103957,1,0,0.0,0.0,1
1,21.14495163013142,11.764227544151014,1,0,7361.362244115143,0.0,1
0,17.816462528784808,9.850020761745558,1,0,0.0,8598.114897421521,0
0,22.436379224772168,8.284864851707711,1,0,5450.204556615649,4264.985771565372,0
0,28.10716161152205,8.99576764027191,1,1,3956.9597439627423,5875.804938121793,0
1,25.0779909413413,7.9855002830880775,1,0,4130.090861577895,1051.0831732858137,1
0,29.967489033540648,9.897878669770035,1,0,8393.833654591499,1597.4957017728134,1
1,33.85940674909942,9.506229206862619,1,0,2493.607575699151,6558.3265356752545,1
1,22.418428443255152,14.290072841537414,1,0,0.0,2887.9436608896604,0
0,21.650029305887205,11.789354284876264,1,0,4615.005307866167,3459.173764632884,0
1,31.70409357563407,11.939096133778193,1,0,3890.1666304258897,0.0,0
0,32.25933102117951,10.942704981655458,1,0,730.0995349688586,0.0,0
1,30.18413607672133,9.265364706662965,1,0,0.0,2335.3279442781027,0
1,18.334748352824555,9.449220082363853,1,0,78.85179123760868,2693.501879070637,0
0,27.958585458511227,9.632261400366758,0,1,10265.13474923498,0.0,0
0,25.766294228331024,10.376466545402268,1,1,0.0,2647.0622919291345,0
1,32.367702589447646,10.778339620446896,1,0,0.0,0.0,1
0,20.989895373235758,10.001417255361044,1,0,0.0,1544.2566391158305,1
0,13.333727961950586,9.418803045313734,1,0,1902.3428637433901,0.0,0
0,29.831657602661906,8.811768739024032,1,0,11456.7629648845,5749.569882188646,1
1,7.091421317200284,7.214702484433493,1,0,14447.164043637647,504.0892203687079,1
1,19.87940617272569,12.566758330093302,1,0,5741.296452917458,0.0,1
0,17.837631420771938,14.411059136530827,1,0,0.0,0.0,1
0,17.79045730365977,12.398673561856501,1,0,0.0,0.0,0
0,19.75677970331433,7.481868748138508,1,0,7004.689041087941,2896.512763799599,0
1,33.52161498826141,11.574033139281784,1,1,9557.1584078199,4712.166046833706,1
0,30.74388793304461,12.047552603241632,1,0,0.0,4391.944909754914,1
1,23.237885226052466,9.193124602757283,1,1,10076.92277148073,5969.093000071192,1
0,32.935364303013344,10.977854479278058,1,0,814.4630311791659,7094.17746582163,0
1,17.56391991383538,9.087393934954761,1,0,6099.990266167699,4565.365969075961,1
0,16.61201629976989,13.05785798962748,1,0,8514.615124732305,0.0,1
0,31.045176614726135,10.730741844430629,1,0,0.0,2042.3393517459629,1
0,29.057502605258527,8.165689017257904,1,0,4628.057092587464,0.0,0
1,21.77815618891674,11.339616196018676,1,0,10100.398246481509,3540.2564409017978,1
1,17.051773744113085,12.117561346980494,1,0,0.0,1977.6496332585532,1
0,35.218123125265585,10.396263302271752,1,0,0.0,6604.729746891032,1
1,12.959282143365272,10.958883383486537,1,1,4870.79843784855,0.0,1
1,20.81101845259508,9.860493141542404,1,0,2847.2823626462905,3149.6500288482966,1
0,26.60003569262528,7.731439093707532,1,0,267.09742486347346,0.0,0
0,37.61515365902012,9.696532483158984,1,0,2087.608824225367,1147.893042368928,0
0,27.68170148451254,11.046079265927116,1,0,0.0,0.0,0
0,28.362132571093092,9.743946264033525,1,0,4365.0618079630285,5839.348309220614,1
1,21.01431409896311,11.601530853479183,0,0,11018.547989905981,4868.478043672834,1
1,28.979361576922187,9.215636877604831,1,0,0.0,0.0,0
1,25.73716524615361,9.346818345098345,0,0,0.0,2337.873025828919,1
0,13.880748217077093,11.66223999598781,0,0,3066.3457663489507,1623.1536906909666,0
0,30.55054397445175,10.44370503360609,1,0,18036.913721618417,0.0,1
1,31.79275372892796,9.176556837688816,0,1,8259.346331899427,1894.2197163673518,1
1,30.623555341748137,12.067610752017249,1,0,1572.621205515926,83.13101860417085,1
1,25.233295479660615,8.622528564098944,1,0,2321.753381091971,4637.083744696843,1
1,18.30676181795247,8.546102081965302,1,1,8813.542503453793,825.4133615801246,0
1,8.83571388100594,4.341102377871852,1,0,0.0,9149.713526866748,0
0,26.099375237810154,8.892062902845105,1,0,5525.758597320663,1250.8870990581643,0
0,32.57359441818594,12.617433357844565,1,0,0.0,1860.8663842722171,0
1,31.968727283581565,5.855414627655122,1,0,7279.522147623844,3190.1072694773857,1
1,30.712509903756935,8.096159719541564,1,1,453.8554036003883,4178.563213553672,1
0,24.480523150154266,10.87813711178034,1,0,3223.887101360379,1749.5182778199423,0
0,32.61224921822048,5.510266452214545,0,0,90.2939247384546,3120.4143958229183,0
1,31.46913276699132,8.978602772980471,1,0,6012.645572378563,2084.9726853444054,1
0,22.041565074949094,12.281726431221493,1,1,1121.7812670988203,0.0,1
0,29.736186116310932,14.086051603697978,1,0,14184.641441758253,0.0,1
0,21.24828598213496,10.580493131334064,1,0,10045.658502892387,3737.592390886594,1
1,28.780169621318453,8.147065963517766,1,1,0.0,6355.139280032785,1
1,15.90618348989253,8.079742522703436,1,0,3172.1543624396354,0.0,0
0,16.44451733928955,10.289815938661809,1,0,6216.8692991398075,0.0,0
1,32.40744932860735,10.5619266423302,1,0,0.0,0.0,1
0,31.562920855433354,13.715857520116497,0,0,8889.869542187253,3980.462561956578,1
0,29.43528078403082,11.941609705074406,1,0,8230.044569097528,4247.529461198396,1
1,25.615781747369812,10.168212975776981,1,0,1632.049702119968,0.0,0
1,8.261078982830961,9.329585493481163,1,0,7594.808950810943,8558.516328567672,0
1,24.475868432554574,16.02942341860442,1,0,0.0,268.1071078129637,1
1,28.179282170328865,11.25318959999179,1,0,9702.493971950316,6094.063104317499,1
0,21.25686726708286,8.66249657284491,1,0,7064.44929162294,4087.3304266310174,0
0,20.012540650342338,9.550754152817046,1,0,0.0,0.0,0
0,35.110942717075844,8.2450905199938,1,1,3510.53001651999,162.29537700755614,1
0,24.577977060258718,5.1909009482992206,1,0,0.0,0.0,0
0,28.183566187496663,10.625301982414646,1,1,0.0,0.0,0
1,30.418920231335555,13.564908433114628,1,0,8235.580293261513,689.6919148269012,1
0,17.989940464464457,6.738885595505392,1,0,2028.117512931152,0.0,0
1,26.352451958999357,10.110525191758036,1,0,1718.0633538681109,940.168444813148,1
1,34.23751146134109,8.586190441724806,1,0,2353.2666676207236,7685.461410408514,1
1,37.73456228309805,11.043005051139705,1,0,1699.9939810699711,3729.40210545245,1
0,25.279554780502835,9.655339686550867,1,0,7629.942415024873,0.0,0
1,23.334395168570477,7.279890691164798,1,1,0.0,0.0,0
0,26.883168476962734,8.037792572100528,1,0,4448.338012503528,216.41502025308964,0
0,26.70545932919265,8.339398936031586,1,0,0.0,8127.6243000344575,0
1,34.707306462918076,12.688636415974415,0,1,6250.155678293584,0.0,1
0,18.02525817583053,12.586518553860301,1,1,300.3218296277268,1494.3391268504267,0
0,23.040888396837847,9.377304225774605,1,1,1870.4698160701607,2989.1613559418524,0
1,17.18001071186443,12.455606866902693,1,0,71.84274239266584,5389.563909199306,1
0,17.91533579941696,9.653632321207652,1,0,780.3409571148669,435.45344475903744,0
1,27.63601810597387,9.346674483099626,1,0,0.0,0.0,0
1,30.669004891459185,10.11423568110235,1,0,3943.800348092269,2426.4023118948135,1
1,20.454258143793783,10.569650557247273,1,0,5206.118945265425,5706.923939121207,1
0,30.404663522827025,8.889110414269997,1,0,0.0,626.7734311691912,0
0,32.78105059992377,10.043731484364445,1,0,0.0,0.0,1
1,38.54294198903373,11.574645011293047,1,0,2268.0775186530973,1852.6620135491971,1
0,25.48822794188734,10.259079278412093,1,0,0.0,0.0,0
1,20.52164830789107,10.08556580424864,1,0,852.1989605543414,800.291656794351,0
1,17.982696478758736,10.98836042856159,1,0,11150.169746744083,5269.682186215322,1
1,17.287447614560744,11.333412121717219,1,1,0.0,4299.509846782903,1
0,33.748464909825245,9.874768362774155,1,0,0.0,1039.6343235474567,1
0,14.394332599310447,9.051637885843702,1,0,0.0,6809.854057966616,0
1,33.524239399558404,10.37840660694847,1,0,262.3057641137242,7611.59957730879,1
0,18.92091279523496,6.812072540353402,1,0,0.0,3625.0759320647107,0
0,20.20355661498416,9.57935600899229,1,0,3605.342704219435,0.0,1
0,23.939111814930143,5.0568801833714785,0,1,0.0,0.0,0
1,20.074418153034422,6.648416433126998,1,0,0.0,5927.168526200072,1
1,31.523858284717026,6.347628301166578,1,0,0.0,2283.129338112054,1
1,37.69340766387943,12.094703484906102,1,0,0.0,6733.773370716471,1
0,20.397974897128034,10.02796363193865,1,0,13976.709308515065,0.0,1
1,21.974335125847613,7.475901953567331,1,1,10793.706268398553,984.2072376981855,1
1,23.85675434901271,10.982132086890713,1,0,0.0,4793.409888651457,1
0,28.787397344448465,11.977308958733037,1,0,0.0,0.0,1
0,23.925610047309004,11.016971112294748,1,0,1619.7834933253846,4747.312190904064,1
1,34.71080187736817,9.622579743014828,1,0,12804.932067224412,1107.1055127061175,1
1,33.02636741593349,10.464973236838734,1,0,5830.102554228327,1589.7945804285198,1
1,16.7017635248343,11.802993066285465,1,0,1915.8400844643525,0.0,1
1,28.646777159023802,9.061508324674689,1,0,0.0,2304.4353243440523,1
0,35.64237466116652,10.059733846515652,1,0,8132.109868068505,8516.926983245996,1
0,21.536533379631816,9.485613910787137,0,0,3096.7405257785026,2741.6697769556167,0
1,22.940145897445102,6.7731682946950285,1,1,11797.846945809968,0.0,0
1,21.303741015029313,11.833136361288604,1,0,0.0,5965.733056249763,1
1,21.45047069133546,14.11454372998802,0,0,4472.416415785853,0.0,1
1,13.320839136622663,8.25241075751762,1,1,0.0,7007.530365243833,0
0,15.701795339744645,11.925360469772599,1,0,4419.941218076168,0.0,0
0,25.54231603116061,8.316012440476799,1,0,3504.7950089398273,2372.6669033320954,0
1,35.59518582256945,10.26557563015413,1,0,4954.130770400129,6384.199986195675,1
1,20.70647431237202,13.016024547579553,1,0,7574.46002194666,0.0,1
1,20.500698879360094,8.959122029215777,1,1,9882.838446666234,1766.1122668777489,1
1,36.910647492945145,9.970627171216252,1,0,13029.64975426025,5203.325575532918,1
1,17.242197767288094,6.396994006983847,1,0,2188.4480859212877,0.0,0
0,13.371297861055046,8.671591312107537,1,0,0.0,4466.028001775924,0
0,19.200391947037502,6.187455355998589,1,0,0.0,1218.6352290651469,0
0,20.36050864843944,10.858356239749996,1,1,4535.363506036074,6114.253291399792,0
1,12.767828407134543,11.663275117903154,1,0,6775.537145589821,0.0,1
0,24.10370805607772,9.556730226858392,1,0,0.0,0.0,1
0,31.63912444903075,10.571773934513585,1,0,8510.123911792942,0.0,0
0,15.998316583996216,9.348539089499106,1,0,1532.4382618506534,0.0,0
0,25.613047532675125,11.481090731748873,1,0,0.0,839.2448753085948,0
1,27.771549729387413,10.258923870250397,1,0,0.0,0.5449294389867632,0
0,24.41631007307995,6.0286732883928815,0,0,0.0,0.0,0
0,26.299848128187417,11.87996163618564,1,0,0.0,1196.1396175900138,0
1,26.381290838166475,9.220914410833693,1,1,5291.447820078794,2241.7494704788146,1
0,19.310904301570975,7.459241057583191,1,0,6937.435280655876,881.6241841313157,0
0,35.490078004083074,9.122132055311994,1,0,11615.215256529928,2417.8503840060043,1
0,33.73429783853351,6.195860702907121,1,1,0.0,1771.8338507732121,0
1,33.32937978068817,7.500221377521914,1,0,4020.5550977497132,0.0,0
0,32.09573018380704,10.285899220230778,1,1,0.0,537.2712033198709,0
1,13.975143713968833,10.453423372681133,1,1,2212.6938567759607,1864.479740490189,1
0,31.482436644683762,10.612877668510336,1,0,0.0,741.0539803970165,1
0,29.589209992846556,10.006419735526995,1,0,0.0,0.0,1
0,14.244334695393517,8.614269753055977,1,0,6597.138736489157,5413.961424218571,0
0,23.495627513949454,9.89108172107887,1,0,0.0,0.0,0
1,26.93755414527702,9.125585106104229,1,0,5543.053418995059,0.0,1
1,36.65021968687245,6.748436803849632,0,0,0.0,1630.6194124461929,1
1,30.073067005259812,8.455170017978825,1,0,0.0,489.5781208985964,1
0,18.94803990905189,11.77908246233805,1,0,0.0,3424.613099553944,0
0,36.867719209163745,13.176588304109888,1,0,10295.38354069872,4292.492594014551,1
1,25.306458338997224,11.302550088237377,1,1,0.0,3805.8075257217565,1
0,23.20911204167836,13.087395521984828,1,0,1739.5133503212674,1494.2943671922312,1
0,22.710172623878314,10.170777220269917,1,0,4082.1244485110988,3270.5517580842593,1
